id,user,created_at,source,clean_text,original_text,favorite_count,retweet_count,city,province,hashtags,urls,mentions
1269835453412397058,mrfoulds,Mon Jun 08 03:35:39 +0000 2020,Twitter for iPhone,"['sflecce', 'visit', 'vaughn']",@Sflecce I don’t visit Vaughn any more.,2,0,Owen Sound,Ontario,,,['Sflecce']
1269832994065272838,SinkevichW,Mon Jun 08 03:25:52 +0000 2020,Twitter for Android,"['jjhorgan', 'rob_fleming', 'teach', 'history', 'important', 'teach', 'kid', 'insidious', 'systemic', 'racism', 'community', 'something', 'relate', 'actually', 'kid', 'less', 'likely', 'racist', 'adult', 'tend', 'corrupt', 'without', 'even', 'know']",@jjhorgan @Rob_Fleming Teaching history is important but teaching kids how insidious and systemic racism is in our communities is something they can relate to...actually kids are less likely to be racist then adults ...we tend to corrupt them without even knowing it,0,0,Nanaimo,British Columbia,,['https://twitter.com/i/web/status/1269832994065272838'],"['jjhorgan', 'Rob_Fleming']"
1269830009557889024,RomansEmpire71,Mon Jun 08 03:14:01 +0000 2020,Twitter for Android,"['jjhorgan', 'rob_fleming', 'three', 'please', 'commitment', 'communication', 'consistency', 'three', 'need', 'journey', 'long', 'hard', 'fraught', 'challenge', 'join']","@jjhorgan @Rob_Fleming Three C's, please?
1. Commitment
2. Communication
3. Consistency
All three are needed for the journey if long, may be hard, and fraught with challenges to each who join it...",0,0,Port Alberni,British Columbia,,['https://twitter.com/i/web/status/1269830009557889024'],"['jjhorgan', 'Rob_Fleming']"
1269826754891231233,FladagerJ,Mon Jun 08 03:01:05 +0000 2020,Twitter for iPhone,"['contemplate', 'plan', 'student', 'safely', 'return', 'school', 'forget', 'teacher', 'catch', 'middle']","As we contemplate plans for students to safely return to school, let us not forget our teachers who are caught in the middle. https://t.co/o79teduGJt",8,1,Regina,Saskatchewan,,['https://twitter.com/i/web/status/1269826754891231233'],
1269826000784941059,BrohmanCBC,Mon Jun 08 02:58:05 +0000 2020,Twitter for iPhone,"['return', 'school', 'sight', 'manitoba', 'kid', 'complex', 'health', 'issue', 'pandemic', 'news', 'coubroughcbc', 'speak', 'donaldlepp']",No return to school in sight for Manitoba kids with complex health issues during pandemic | CBC News via @coubroughCBC who spoke with @DonaldLepp https://t.co/wUMHfYAobn,7,4,Winnipeg,Manitoba,,['https://twitter.com/i/web/status/1269826000784941059'],
1269823704730648577,riverheights11,Mon Jun 08 02:48:58 +0000 2020,Twitter for iPhone,"['river', 'height', 'schedule', 'monday', 'june', 'tuesday', 'rest', 'school', 'wednesday', 'open', 'anyone', 'miss', 'earlier', 'schedule', 'time']",Hey River Heights This is the schedule for Monday June 8th  Tuesday is the rest of the school and Wednesday AM is open for anyone who missed earlier scheduled times. https://t.co/cIieeOXQe6,0,0,London,Ontario,,['https://twitter.com/i/web/status/1269823704730648577'],
1269806069741531136,shuirose,Mon Jun 08 01:38:53 +0000 2020,Twitter for iPhone,"['proud', 'young', 'girl', 'attend', 'take', 'away', 'learn', 'history', 'rally', 'school', 'change', 'rob_fleming', 'blacklivesmatter', 'wecandobetter', 'sd57']",Proud of my younger two girls for attending.  Take away.  “ learned more history in rally than school Let’s change that @Rob_Fleming #BlackLivesMatter #WeCanDoBetter #SD57 https://t.co/zR8rHxkwiJ,1,0,Prince George,British Columbia,,['https://twitter.com/i/web/status/1269806069741531136'],
1269805015427878918,kim45607978,Mon Jun 08 01:34:42 +0000 2020,Twitter for Android,"['dyslexiabc', 'however', 'regard', 'dyslexia', 'word', 'would', 'focus', 'isolate', 'would', 'desk', 'outside', 'classroom', 'face', 'open', 'class', 'door', 'volunteer', 'reading', 'recovery', 'everyone', 'would', 'stare', 'dumbfound', 'work']","@DyslexiaBC However in regards to dyslexia the key word I would focus on is Isolated.  My son would have his desk put outside the classroom, facing the open class door, a volunteer doing reading recovery, everyone would stare at him &amp; they were dumbfounded as to why it wasn't working",2,0,New Tecumseth,Ontario,,['https://twitter.com/i/web/status/1269805015427878918'],['DyslexiaBC']
1269799460508438530,KultureK,Mon Jun 08 01:12:37 +0000 2020,Twitter for iPhone,"['great', 'physically', 'distant', 'bike', 'ride', 'tdot', 'grow', 'bike', 'school', 'work', 'city', 'today', 'agree', 'never', 'see', 'many', 'cyclist', 'city', 'ever', 'please', 'leave', 'lakeshore', 'open', 'forever🤞', 'cycle', 'toronto']",Had a great “physically distant” bike ride with my BFF in the tdot. Both of us grew up biking to school and work in this city. Today we both agreed we have never seen so many cyclists in the city EVER💯 Please leave Lakeshore open to 🚲 s forever🤞🏼#cycling #Toronto https://t.co/v4MTdxxPST,6,1,Ashbridge's Bay Park,,,['https://twitter.com/i/web/status/1269799460508438530'],
1269797119268978697,KidsInPain,Mon Jun 08 01:03:19 +0000 2020,Twitter for iPhone,"['neat', 'skip', 'board', 'chair', 'judith', 'hall', 'covid19', 'child', 'task', 'force', 'colleague', 'across', 'chiefscican', 'assess', 'evidence', 'knowledge', 'gap', 'relate', 'covid19', 'child', 'include', 'infectivity', 'transmission', 'disease', 'course', 'risk', 'factor']","Neat to see SKIP’s Board Chair, 
Dr. Judith Hall, on the #COVID19 in Children Task Force with colleagues from across 🇨🇦, and @ChiefSciCan Assessing evidence &amp; knowledge gaps related to COVID19 in children including infectivity, transmission, disease course &amp; risk factors 🧡🦠👧🏽🧒🏻 https://t.co/lunpUizEV6",4,1,Halifax,Nova Scotia,['COVID19'],['https://twitter.com/i/web/status/1269797119268978697'],
1269794400697307138,mayahoodblog,Mon Jun 08 00:52:31 +0000 2020,Instagram,"['white', 'three', 'boy', 'know', 'experience', 'parent', 'differs', 'many', 'way', 'parent', 'black', 'bi-racial', 'kid', 'even', 'though', 'want', 'thing', 'child', 'safety', 'health…']","I'm a white mom to three boys. I know that my experience of parenting them differs in so many ways than that of parents to black and bi-racial kids. Even though we want the same thing for our children: safety, health… https://t.co/f7cWiIKtBg",1,0,,Saskatchewan,,['https://twitter.com/i/web/status/1269794400697307138'],
1269785342753701889,pairsonnalitesN,Mon Jun 08 00:16:31 +0000 2020,dlvr.it,"['fight', 'stigma', 'public', 'urge', 'help', 'keep', 'child', 'safe', 'abuse', 'lockdown', 'child', 'protection', 'charity', 'warn', 'spend', 'time', 'home', 'likely', 'lead', 'increase', 'risk', 'child', 'sexual', 'abuse', 'northern', 'ireland']",Fighting Stigma : Public urged to help keep children safe from abuse during lockdown: ... child protection charity have warned that spending more time at home is likely to lead to an increased risk of child sexual abuse in Northern Ireland. https://t.co/u95bfPIzoN,0,0,Varennes,Québec,,['https://twitter.com/i/web/status/1269785342753701889'],
