id,created_at,screen_name,source,clean_text,original_text,favorite_count,retweet_count,hashtags,urls,mentions,city,province,longitude,latitude
1292232532377788416,Sat Aug 08 22:53:38 +0000 2020,chill_canada,Twitter for iPad,"['corrrine', 'baba_yaga_lives', '2020alanshearer', 'king_of_shade', 'courtezsabrina', 'nancy10sone', 'dearauntcrabby', 'crazy_mama_g', 'cyndispeaks', 'unreal_2020', 'dame_keep', 'carlosweed64', 'grasshopper2049', 'notjustplaneta', 'edgepointlegend', 'smithblindlib5', 'sergeivote', 'jilevin', 'parent', 'freak', 'sask', 'parent', 'rally', 'change', 'covid-19', 'back-to-school', 'plan', 'detailed', 'plan', 'reopen', 'golf', 'course', 'reopen', 'school', 'manage', 'risk', 'school']","@Corrrine @Baba_Yaga_Lives @2020Alanshearer @King_Of_Shade @CourtezSabrina @Nancy10Sone @DearAuntCrabby @Crazy_Mama_G @cyndispeaks @UnReal_2020 @dame_keep @CarlosWeed64 @Grasshopper2049 @notjustplanetA @EdgePointLegend @SmithBlindlib5 @sergeivote @jilevin Parents are freaking out here ..

Sask. parents rallying to change COVID-19 back-to-school plan
“There was more detailed plans about how to reopen golf courses than how to reopen school and manage risk in school.”

https://t.co/dCGaemlND7",6,4,,['https://twitter.com/i/web/status/1292232532377788416'],"['Corrrine', 'Baba_Yaga_Lives', '2020Alanshearer', 'King_Of_Shade', 'CourtezSabrina', 'Nancy10Sone', 'DearAuntCrabby']",,,-113.64258,60.10867
1292232511205126147,Sat Aug 08 22:53:33 +0000 2020,faithkot,Twitter for iPhone,"['torontostar', 'icymi', 'sick', 'kid', 'president', 'ronald', 'cohn', 'back', 'back-to-school', 'plan', 'ensure', 'proper', 'physical', 'distancing…']",RT @TorontoStar: #ICYMI Sick Kids President Ronald Cohn will not back a back-to-school plan that does not ensure proper physical distancing…,0,0,['ICYMI'],,['TorontoStar'],Hamilton,Ontario,-79.84963,43.25011
1292232469790494720,Sat Aug 08 22:53:23 +0000 2020,lindahaslett,Twitter Web App,"['sflecce', 'ignore', 'sickkids', 'local', 'public', 'health', 'office', 'canada', 'health', 'guideline', 'safe', 'opening', 'school', 'tweet', 'little', 'kid', 'exactly', 'prove', 'firelecce', 'votefordout2022']","@Sflecce Why are you ignoring @sickkids , local public health offices, and NOW Canada health guidelines in the safe opening of schools. BTW, tweeting the pic with 5 little kids, exactly proves what? #Firelecce #votefordout2022",42,2,,['https://twitter.com/i/web/status/1292232469790494720'],"['Sflecce', 'sickkids']",Hamilton,Ontario,-79.84963,43.25011
1292232453915017216,Sat Aug 08 22:53:20 +0000 2020,NeilU05247590,Twitter for Android,"['fordnation', 'sflecce', 'ignore', 'expert', 'advice', 'include', 'sickkidsnews', 'stuff', 'kid', 'classroom', 'want', 'precedent', 'teacher', 'union', 'put', 'grandchild', 'risk', 'hypocrite', 'revertingbacktoform', 'onetermpremier', 'tobybarretthn']",@fordnation But you and @Sflecce ignore expert advice including @SickKidsNews by stuffing 30 kids in a classroom because you don't want to set that precedent with teachers' union putting my grandchildren at risk #hypocrite #revertingbacktoform #onetermpremier @TobyBarrettHN,0,0,,['https://twitter.com/i/web/status/1292232453915017216'],"['fordnation', 'Sflecce', 'SickKidsNews']",Hamilton,Ontario,-79.84963,43.25011
1292232414668959753,Sat Aug 08 22:53:10 +0000 2020,Sask_NDP,Sprout Social,"['even', 'people', 'say', 'sask', 'party', 'back-to-school', 'plan', 'hint', 'give', 'fail', 'grade', 'skpoli', 'sasked', 'covid19sk', 'safeschoolsnow']","Here’s even more of what people are saying about the Sask Party’s back-to-school plan. 

Hint: they’re giving it a failing grade. #skpoli #sasked #covid19sk #safeschoolsnow https://t.co/qtJeskM55T",17,6,,['https://twitter.com/i/web/status/1292232414668959753'],,,Saskatchewan,-106.00099,54.0001
1292232325779070978,Sat Aug 08 22:52:49 +0000 2020,NormalOntario,Twitter for iPhone,"['normalontario', 'school', 'bring', 'second', 'wave', 'firelecce', 'fordnation', 'unsafeseptember']","RT @NormalOntario: What’s that, it’s a school bus bringing the second wave. #firelecce @fordnation #UnsafeSeptember https://t.co/IxjAQkvoll",0,0,"['firelecce', 'UnsafeSeptember']",,"['NormalOntario', 'fordnation']",Toronto,Ontario,-79.4163,43.70011
1292232306816462848,Sat Aug 08 22:52:45 +0000 2020,RileyLanceB,Twitter for iPhone,"['mhdksafa', 'follow', 'canadian', 'speaking', 'canadian', 'school', 'much', 'different', 'situation', 'united', 'state', 'think', 'united', 'state', 'school', 're-open', 'point', 'many', 'active', 'case', 'reopen']","@mhdksafa To follow up, I’m Canadian and I’m speaking for Canadian schools. It is a much different situation in the United States. I don’t think in the United States school should re-open at this point. There is far too many active cases to reopen.",8,0,,['https://twitter.com/i/web/status/1292232306816462848'],['mhdksafa'],,Alberta,-117.469,52.28333
1292232283441643521,Sat Aug 08 22:52:39 +0000 2020,DaleDutchak,Twitter for Android,"['djillk1', 'drlesleybarron', 'think', 'crazy', 'government', 'canada', 'establish', 'national', 'plan', 'reopen', 'school', 'protect', 'right', 'child', 'student', 'teacher', 'right', 'child', 'student', 'teacher', 'violate', 'govts', 'throughout', 'canada']","@djillk1 @drlesleybarron And if you think I'm crazy, until the Government of Canada establishes a National Plan to reopen Schools which protect the Rights of all Children, Students &amp; Teachers, the Rights of all Children, Students &amp; Teachers are being violated by all govts throughout Canada",0,0,,['https://twitter.com/i/web/status/1292232283441643521'],"['djillk1', 'drlesleybarron']",,,-113.64258,60.10867
1292232276915433478,Sat Aug 08 22:52:37 +0000 2020,50_pieces,Twitter for iPhone,"['cbccanada', 'immunocompromised', 'caledonia', 'move', 'wife', 'teach', 'kid', 'school', 'http']",RT @CBCCanada: Immunocompromised Caledonia man is moving out so his wife can teach and kids can go to school https://t.co/YMhCA5SGIY https:…,0,0,,['https://www.cbc.ca/news/canada/hamilton/caledonia-father-moving-away-covid-19-immunocompromised-1.5678344?cmp=rss'],['CBCCanada'],,,-113.64258,60.10867
1292232274289680385,Sat Aug 08 22:52:37 +0000 2020,DBenson77,Twitter for iPhone,"['97000', 'child', 'reportedly', 'test', 'positive', 'coronavirus', 'week', 'school', 'gear', 'instruction', 'news']","97,000 children reportedly test positive for coronavirus in two weeks as schools gear up for instruction - CBS News https://t.co/yg7vOv2j7c",0,0,,['https://www.cbsnews.com/news/covid-19-kids-schools-in-person-instruction/'],,,Alberta,-117.469,52.28333
1292232257902534657,Sat Aug 08 22:52:33 +0000 2020,TheGentYYC,Twitter Web App,"['grandmaaber', 'jkenney\u2069', 'cmoh_alberta\u2069', 'adrianalagrange\u2069', 'sacrifice', 'child', 'alberta_m…']",RT @GrandmaAber: WOW just WOW. Hey ⁦@jkenney⁩ ⁦@CMOH_Alberta⁩ ⁦@AdrianaLaGrange⁩ do you see this? Do NOT sacrifice our children ⁦@alberta_m…,0,0,,,"['GrandmaAber', 'jkenney', 'CMOH_Alberta', 'AdrianaLaGrange']",Calgary,Alberta,-114.08529,51.05011
1292232196246384642,Sat Aug 08 22:52:18 +0000 2020,MickVillene,Twitter for Android,"['mrmrlawrence', 'phinney35', 'sflecce', 'fordnation', 'absolutely', 'idea', 'whether', 'help', 'school', 'context', 'take', 'regressive', 'progressive', 'intersectionality', 'bullshit', 'elsewhere', 'live', 'matter', 'exception', 'preference']","@mrmrlawrence @phinney35 @Sflecce @fordnation You have absolutely no idea about whether I've helped at schools or in what context.
Take your regressive ""progressive"" intersectionality bullshit elsewhere.

ALL LIVES MATTER!  NO EXCEPTIONS! NO PREFERENCE!",0,0,,['https://twitter.com/i/web/status/1292232196246384642'],"['mrmrlawrence', 'phinney35', 'Sflecce', 'fordnation']",Ottawa,Ontario,-75.69812,45.41117
1292232160116723715,Sat Aug 08 22:52:10 +0000 2020,NormalOntario,Twitter for iPhone,"['normalontario', 'sick', 'kid', 'come', 'say', 'support', 'ontario', 'government', 'back', 'school', 'plan', 'firelecce', 'votefordout2022…']",RT @NormalOntario: Sick Kids comes out and says they do not support the Ontario Government back to school plan. #firelecce #VoteFordOut2022…,0,0,"['firelecce', 'VoteFordOut2022']",,['NormalOntario'],Toronto,Ontario,-79.4163,43.70011
1292232148154449920,Sat Aug 08 22:52:07 +0000 2020,McLennan1977,Twitter Web App,"['clancymichaela', 'winter', 'teacher', 'go', 'strike', 'reduce', 'class', 'size', 'parent', 'agree', 'remain', 'there…']","RT @ClancyMichaela: This winter teachers went on strike to reduce class sizes. Parents agreed with us. They remained the same. 

Now there…",0,0,,,['ClancyMichaela'],Windsor,Ontario,-83.01654,42.30008
1292232143205093376,Sat Aug 08 22:52:06 +0000 2020,EthanReady,Twitter for iPhone,"['cityofpg', 'mother', 'elizabeth', 'dunn', 'pen', 'open', 'letter', 'minister', 'education', 'rob_fleming', 'call', 'opt-in', 'alternative', 'classroom', 'instruction', 'come', 'school', 'year', 'letter', 'garner', 'much', 'support', 'await', 'fleming', 'reply']","A #CityofPG mother of two, Dr Elizabeth Dunn, has penned an open letter to Minister of Education @Rob_Fleming calling for an opt-in alternative to classroom instruction for the coming school year. 

The letter has garnered much support as she awaits Fleming’s reply. https://t.co/dFqfMZCZxU",0,0,['CityofPG'],['https://twitter.com/i/web/status/1292232143205093376'],['Rob_Fleming'],Prince George,British Columbia,-122.75301,53.9166
1292232095591305217,Sat Aug 08 22:51:54 +0000 2020,GWLeah,Twitter for iPhone,"['sapphiretiana', 'husband', 'article', 'able', 'attend', 'health', 'appointment', 'pregnant', 'wife', 'deeme…']","RT @sapphiretiana: My husbands article! ""I have not been able to attend a health appointment with my pregnant wife ...yet it has been deeme…",0,0,,,['sapphiretiana'],Vancouver,British Columbia,-123.11934,49.24966
1292232037341048833,Sat Aug 08 22:51:40 +0000 2020,68logs,Twitter for Android,"['eladepartmentar', 'mog7546', 'chicagomikesd', 'open', 'school', 'indeed']","RT @ELAdepartmentAR: @mog7546 @ChicagoMikeSD https://t.co/niZHLh39tH

Open the schools, indeed.",0,0,,['https://keystonenewsroom.com/story/over-338000-children-have-contracted-covid-since-march-now-school-is-about-to-start/amp/'],"['ELAdepartmentAR', 'mog7546', 'ChicagoMikeSD']",Toronto,Ontario,-79.4163,43.70011
1292232036707532800,Sat Aug 08 22:51:40 +0000 2020,mssinenomine,Twitter for iPhone,"['drandrewk1', 'siri', 'show', 'inequality', 'exacerbate', 'government', 'incompetent', 'response', 'covid19', 'ableg…']","RT @DrAndrewK1: Siri, show me inequality exacerbated by a government’s incompetent response to #COVID19. 

https://t.co/Om2qOBT0O1

#ableg…",0,0,"['COVID19', 'ableg']",['https://bit.ly/31wXrvg'],['DrAndrewK1'],Vancouver,British Columbia,-123.11934,49.24966
1292231976573960194,Sat Aug 08 22:51:26 +0000 2020,dmcgilvray19,Twitter for iPhone,"['charliekirk11', 'fact', 'child', 'america', 'age', '1-15', 'die', 'chinese', 'coronavirus', 'least', 'die', 'swine…']","RT @charliekirk11: Facts:

Only 36 children in America aged 1-15 have died from the Chinese Coronavirus

At least 317 died during the Swine…",0,0,,,['charliekirk11'],,,-113.64258,60.10867
1292231931942199297,Sat Aug 08 22:51:15 +0000 2020,SaundersWilmott,Twitter for Android,"['pattibacchus', 'parent', 'teacher', 'support', 'staff', 'plead', 'safe', 'bced', 'back-to-school', 'plan', 'start', 'rem…']","RT @pattibacchus: Parents, teachers and support staff shouldn't have to plead for a safe #bced back-to-school plan. This is starting to rem…",0,0,['bced'],,['pattibacchus'],Vancouver,British Columbia,-123.11934,49.24966
1292231912627433473,Sat Aug 08 22:51:11 +0000 2020,underhermantle,Twitter for iPhone,"['eileeniorio', 'conflate', 'vaccine', 'skepticism', 'child', 'porn', 'every', 'interview', 'tactic']","RT @eileeniorio: This guy... conflating vaccine skepticism with child porn again. Every interview, this will be his tactic until they are c…",0,0,,,['eileeniorio'],Calgary,Alberta,-114.08529,51.05011
1292231900178853889,Sat Aug 08 22:51:08 +0000 2020,68logs,Twitter for Android,"['mog7546', '+250', 'quarantine', 'georgia', 'district', 'first', 'week', 'school', 'home', 'infecting', 'parent', 'grandparent']","RT @mog7546: +250 quarantined in #Georgia district after first week of school

NOW THEY ARE AT HOME INFECTING PARENTS &amp; GRANDPARENTS???

Mu…",0,0,['Georgia'],,['mog7546'],Toronto,Ontario,-79.4163,43.70011
1292231839059283968,Sat Aug 08 22:50:53 +0000 2020,SarahAMoore_PhD,Twitter Web App,"['miss', 'canada', 'plan', 'kid', 'back', 'school', 'safely']",What's missing from Canada's plans to get kids back to school safely https://t.co/wFMWuNvfvm,1,1,,['https://www.cbc.ca/news/health/coronavirus-canada-schools-1.5679090'],,Halifax,Nova Scotia,-63.57239,44.64533
